id,name,racing_chair,day_chair,off_road_chair,handbike,frame_runner,walking_frame,crutches,walking_stick
1686,Aachener Weiher parkrun,30,30,55,25,35,30,45,55
2391,Abbey Park parkrun,65,65,75,55,95,75,85,85
1607,Aberbeeg parkrun,80,75,85,65,100,95,95,95
1475,Aberdare parkrun,30,35,65,30,60,30,50,60
135,Aberdeen parkrun,25,30,65,25,50,20,45,55
2466,Aberfields parkrun,0,0,20,0,0,0,0,15
931,Aberystwyth junior parkrun,0,0,20,0,0,0,0,0
470,Aberystwyth parkrun,80,70,85,70,100,85,90,90
365,Abingdon parkrun,0,15,75,20,40,0,40,50
2006,Achill Greenway parkrun,25,40,85,35,70,25,75,80
331,Acton junior parkrun,0,0,10,0,0,0,10,30
1569,Aggeneys parkrun,15,25,65,25,40,20,55,60
1897,Agnew parkrun,65,65,75,55,95,75,85,85
2707,Aintree Reserve parkrun,20,20,50,20,40,0,40,50
563,Airlie Beach parkrun,0,0,40,0,0,0,0,0
2307,Akkerendam Nature Reserve parkrun,0,10,60,15,10,0,40,45
1125,Albert College junior parkrun,0,0,55,0,30,0,35,35
2522,Albert Park junior parkrun,0,0,40,0,5,0,5,15
146,"Albert parkrun, Melbourne",0,0,55,0,0,0,15,30
108,"Albert parkrun, Middlesbrough",80,70,85,70,100,75,80,80
819,Alberts Farm parkrun,40,40,70,40,70,40,60,65
640,Albury Wodonga parkrun,0,10,65,10,35,0,45,55
2630,Alby Gård parkrun,55,65,90,65,85,75,100,90
962,Aldenham parkrun,0,0,0,0,0,0,0,0
1814,Alderford Lake parkrun,0,0,55,0,0,0,0,0
2278,Alderley Park parkrun,0,0,0,0,0,0,0,0
1697,Alderman Kneeshaw junior parkrun,30,30,45,20,50,45,45,45
1277,Aldinga Beach parkrun,20,15,40,10,25,10,20,35
2846,Alexandra Park junior parkrun,0,5,35,0,20,10,15,20
1536,"Alexandra junior parkrun, Moss Side",25,35,70,30,60,35,55,55
1134,"Alexandra junior parkrun, Oldham",25,25,45,15,45,35,40,45
1893,"Alexandra parkrun, Moss Side",80,75,85,65,100,95,95,95
457,Alice Holt parkrun,0,0,20,0,0,0,0,0
2765,Alice Springs Telegraph Station parkrun,0,10,80,15,30,0,40,50
2384,Aliwal North Golf Club parkrun,35,50,100,50,85,40,85,85
2174,Allerpark parkrun,60,55,60,45,65,70,65,70
373,Ally Pally parkrun,0,0,25,0,0,0,0,0
650,Alness parkrun,0,5,70,10,25,0,40,50
1644,Alstervorland parkrun,65,60,65,50,75,75,80,85
2162,Alton Water parkrun,0,0,0,0,0,0,0,0
939,Altona Beach parkrun,0,0,0,0,0,0,0,0
1750,Alvaston parkrun,0,5,70,20,55,0,35,35
1481,Alyn Waters junior parkrun,0,0,25,0,5,0,5,20
111,Amager Fælled parkrun,0,0,0,0,0,0,0,0
366,Amager Strandpark parkrun,25,20,45,20,35,45,5,5
818,Amanzimtoti parkrun,0,0,40,0,0,0,0,0
2288,Ambleside parkrun,0,10,95,20,45,0,55,60
1943,Amsterdamse Bos parkrun,40,30,80,55,70,30,45,50
450,Anacostia parkrun,40,45,95,50,85,25,70,75
2831,Anagach Woods parkrun,0,0,70,0,0,0,10,20
2202,Ancholme Valley Way parkrun,0,0,0,0,0,0,0,0
2127,Anchorsholme junior parkrun,0,0,50,5,25,0,15,15
1123,Anderson parkrun,0,5,55,5,35,0,25,30
222,Andover junior parkrun,0,0,55,0,0,0,0,15
158,Andover parkrun,0,10,85,0,50,0,60,60
2652,Ankerskogen parkrun,5,20,70,25,35,10,50,55
2149,Anstey Hill Recreation parkrun,0,0,40,0,0,0,10,25
2543,Antrim Castle Gardens junior parkrun,5,0,30,5,15,0,15,20
601,Antrim parkrun,0,0,45,5,0,0,5,20
1417,Aplins Weir parkrun,100,100,100,100,100,100,100,100
1235,Applecross parkrun,40,40,65,35,50,35,45,55
2354,Ara Harakeke parkrun,15,15,40,10,25,15,15,30
1222,Ararat parkrun,0,10,45,15,5,0,25,35
2225,Archerfield Walled Garden junior parkrun,0,0,40,0,0,0,0,0
693,Ardgillan parkrun,0,0,0,0,0,0,0,0
1879,Arklow Duck Pond junior parkrun,30,30,45,20,50,45,45,45
648,Armagh parkrun,0,0,80,10,15,0,35,35
603,Armidale parkrun,0,0,20,0,0,0,0,10
1500,Armley parkrun,70,75,100,90,100,85,95,80
2525,Aronica’s Nursery parkrun,0,15,90,25,20,0,55,55
2249,Arrow Rest parkrun,0,0,65,0,0,0,5,20
249,Arrow Valley parkrun,45,55,80,50,90,55,85,80
2223,Ashbourne Recreation Ground parkrun,0,0,10,0,0,0,0,0
2648,Ashburton Domain parkrun,0,5,75,20,25,0,40,45
1018,Ashford junior parkrun,30,25,75,45,65,30,50,45
193,Ashford parkrun,5,20,65,25,45,0,50,50
1002,Ashgrove parkrun,40,40,70,40,70,40,60,65
2450,Ashington Community Woodland parkrun,0,15,65,15,40,0,50,55
1843,Ashlyns junior parkrun,0,0,0,0,0,0,0,0
144,Ashton Court parkrun,0,0,35,0,0,0,0,0
1425,Aspen parkrun,90,90,95,75,100,100,100,100
826,Atherton parkrun,0,0,30,0,0,0,0,0
2611,Athlone RSC parkrun,35,50,90,50,80,40,90,85
1346,Atholl parkrun,20,25,60,20,45,15,50,60
1491,Atlasville parkrun,20,25,60,20,45,15,50,60
2362,Auldcathie District parkrun,60,60,75,50,90,65,80,85
1884,Aurora parkrun,65,65,75,55,95,75,85,85
2626,Australian Botanic Garden Mount Annan parkrun,40,50,90,50,70,30,75,80
2360,Australian Standing Stones parkrun,5,25,95,35,60,0,70,75
542,Aveley parkrun,25,20,40,15,35,20,25,40
270,Avenham Park junior parkrun,0,0,0,0,0,0,0,0
147,Avery Hill parkrun,65,65,75,55,95,75,85,85
243,Aviemore parkrun,0,0,55,0,0,0,25,35
1439,Avondale Forest parkrun,0,10,65,10,35,0,45,55
2076,Avondale University College parkrun,0,0,55,0,5,0,15,30
964,Aylesbury junior parkrun,0,0,40,0,0,0,0,5
497,Aylesbury parkrun,0,0,65,5,35,0,40,50
691,Aylestone junior parkrun,40,35,55,25,65,55,50,55
397,Ayr parkrun,0,0,70,10,5,0,20,30
1798,Babbs Mill parkrun,10,30,85,35,55,5,55,60
2497,Bahnstadt Promenade parkrun,65,60,65,50,75,75,80,85
1870,Bailey junior parkrun,0,5,50,5,35,10,25,25
1084,Bairnsdale parkrun,0,0,25,0,0,0,0,10
1223,Balbriggan junior parkrun,0,0,20,0,0,0,0,0
1427,Balclutha parkrun,50,55,80,50,80,50,75,80
2554,Ball Park parkrun,95,95,100,85,100,100,100,100
2349,Ballachulish Quarry junior parkrun,0,0,40,0,0,0,5,10
1239,Ballina Coast parkrun,40,45,55,35,75,55,85,90
860,Ballina parkrun,0,0,60,0,0,0,5,20
2298,Ballinamore Greenway parkrun,80,85,100,75,100,90,100,100
1776,Ballincollig Regional junior parkrun,0,0,30,0,0,0,0,0
1135,Ballincollig parkrun,0,0,0,0,0,0,0,0
937,Ballito parkrun,0,0,55,0,5,0,15,30
2142,Baltimore and Annapolis Trail parkrun,0,25,90,25,60,0,70,75
446,Balyang Sanctuary parkrun,30,30,55,25,55,25,50,60
132,Banbury parkrun,0,0,0,0,0,0,0,0
1090,Bangor junior parkrun,0,0,55,5,15,0,10,20
714,"Bangor parkrun, Northern Ireland",35,40,65,35,65,40,55,60
2071,Bankton Mains Park junior parkrun,30,30,45,20,50,45,45,45
1292,Bannockburn Bush parkrun,0,0,35,0,0,0,0,15
102,Banstead Woods parkrun,0,5,60,10,25,0,40,45
2195,Bapsfontein Hotel parkrun,20,25,60,20,45,15,50,60
945,Barclay parkrun,0,0,0,0,0,0,0,0
613,Bargara parkrun,20,30,85,35,45,5,40,45
1638,Baringa parkrun,25,45,100,50,75,25,80,80
2426,Barking junior parkrun,0,0,0,0,0,0,0,15
456,Barking parkrun,0,0,25,0,20,0,30,45
881,Barnsley junior parkrun,20,25,60,20,60,35,50,50
318,Barnsley parkrun,40,50,80,45,85,45,80,80
1456,Barnstaple junior parkrun,0,0,50,0,5,0,5,10
363,Barnstaple parkrun,55,65,100,65,100,70,85,80
1319,Barrow junior parkrun,0,0,0,0,0,0,0,0
377,Barrow parkrun,0,0,15,0,5,0,20,35
592,Barry Curtis parkrun,25,30,70,35,50,25,40,45
923,Barry Island parkrun,0,0,0,0,0,0,0,0
561,Barry junior parkrun,30,30,45,20,50,45,45,45
1521,Barshaw junior parkrun,15,25,65,20,55,35,55,50
2180,Bartley Park parkrun,0,0,45,0,0,0,0,5
2112,Barton Trail parkrun,50,75,100,90,100,40,100,100
140,Basildon parkrun,0,10,75,15,20,0,50,55
681,Basingstoke junior parkrun,40,50,80,45,65,55,55,55
109,Basingstoke parkrun,0,0,15,0,5,0,25,40
559,Batemans Bay parkrun,0,0,15,0,0,0,0,10
212,Bath Odd Down junior parkrun,30,35,70,30,70,45,60,60
210,Bath Skyline parkrun,0,0,0,0,0,0,0,0
614,Bathurst parkrun,80,80,90,75,100,100,100,90
2610,Battersea junior parkrun,50,45,55,35,75,75,60,55
2677,Battersea parkrun,30,40,75,40,60,35,65,70
1908,Battery Park junior parkrun,5,20,75,15,50,20,45,50
2518,Battle Recreation Ground junior parkrun,0,0,10,0,0,0,0,0
2531,Battlestead Croft parkrun,0,0,40,0,0,0,0,0
2147,Baxter Park junior parkrun,15,15,40,10,30,10,30,35
2336,Baxter parkrun,20,25,60,25,45,10,45,55
2615,Bay East Garden parkrun,100,100,95,95,100,100,100,100
2501,Baysgarth Park parkrun,0,5,45,5,25,0,20,35
2102,Bayview Road parkrun,0,0,35,0,5,0,10,25
1236,Beach Strip parkrun,0,10,75,10,30,0,40,50
2377,Beacon Hill Country Park parkrun,0,0,0,0,0,0,0,0
2508,Beacon junior parkrun,0,5,50,0,30,0,30,40
1936,Beacon parkrun,0,0,75,10,25,0,45,45
1877,Bear Creek Greenbelt parkrun,30,30,50,20,55,30,45,55
2305,Beatrixpark parkrun,85,80,85,70,100,95,90,95
2312,Beaufort Lake parkrun,0,0,60,0,0,0,10,20
1566,Beaumont Park junior parkrun,0,0,5,0,0,0,5,25
2185,Beckenham Place junior parkrun,0,0,0,0,0,0,0,0
189,Beckenham Place parkrun,0,0,75,0,0,0,15,30
431,Beckton parkrun,30,45,85,45,75,30,75,75
113,Bedfont Lakes parkrun,0,15,75,20,35,0,40,45
183,Bedford junior parkrun,15,15,45,10,40,30,25,30
198,Bedford parkrun,100,100,100,90,100,100,100,100
1089,Bedgebury Pinetum parkrun,0,0,20,0,0,0,0,0
1901,Bedok Reservoir parkrun,45,45,55,35,55,50,60,70
1369,Bedworth parkrun,0,0,85,10,25,0,40,45
2021,Beechpark junior parkrun,30,30,45,20,50,45,45,45
149,Beehive junior parkrun,0,0,50,0,0,0,0,5
713,Beeston parkrun,0,0,100,25,30,0,50,55
1003,Bega parkrun,0,0,10,0,0,0,5,25
2534,Belair National Park parkrun,0,0,55,0,5,0,15,30
2740,Belcamp junior parkrun,0,0,15,0,0,0,0,0
172,Belfast Victoria junior parkrun,15,10,45,10,30,0,15,30
369,Belfast Victoria parkrun,55,60,95,60,95,40,90,90
2547,Belfast YMCA junior parkrun,0,0,55,5,35,0,25,30
1406,Bellerive parkrun,0,0,30,0,0,0,0,0
2074,Bellevue Park junior parkrun,0,0,30,0,5,0,15,20
1246,Bellevue parkrun,50,60,95,60,85,50,80,85
2285,Bells Parade parkrun,90,70,80,70,100,100,75,75
868,Bellville parkrun,55,60,80,55,85,60,80,80
1019,Belton House parkrun,0,0,45,0,0,0,10,20
2810,Belvedere parkrun,0,20,75,25,25,0,55,65
2184,Belvoir Castle parkrun,0,0,25,0,0,0,0,0
1883,Benalla Botanical Gardens parkrun,15,15,45,15,25,5,20,35
1968,Bendigo Botanic Gardens parkrun,20,25,60,20,45,15,50,60
2565,Benguela Cove parkrun,10,25,70,30,35,0,55,65
